coords2d_1,coords2d_2,coords2d_3,coords2d_4,coords2d_5,coords2d_6,coords2d_7,coords2d_8,coords3d_1,coords3d_2,coords3d_3,coords3d_4,coords3d_5,coords3d_6,coords3d_7,coords3d_8
121.43812698980709,120.6256896484124,114.86027232849129,118.54891598975668,85.08605705705834,81.02403427462504,86.13259230206604,102.16367466148961,91.41018385108652,89.88268034510486,93.63283669003538,93.77759571930463,89.84824253130965,89.17770920011117,88.25874139823179,88.11177621786064
136.60856453267402,143.1413536058461,171.4896439446338,148.10960588735668,82.19934590624416,75.22702049960344,80.69776979835187,102.75368006237365,92.47675887111902,89.86091936240919,97.65009441264841,98.38944872992396,88.70078441112585,89.97213533266452,94.82870036086706,95.11828672129727
168.6590632884188,179.676144759271,97.16394203809442,97.45204624747473,79.82778811319984,77.18902648963545,77.35010967102103,100.9811640104853,92.03903253778041,91.69787141892745,98.2907934775523,96.20621291267523,89.63096738362238,88.94477925884621,83.85685523288782,83.4558070153922
136.6354208364905,136.41860331147763,93.70715597839428,97.80107574425155,82.71400749039378,81.28214712335982,87.8320116694569,97.96645511462506,90.45319238609768,91.53536755819451,95.51949886333298,95.35564262514437,89.21864935399621,89.76470931776039,84.51273780831664,83.52102166158747
140.80694521169747,138.39646217057324,173.38772619422366,143.05109948615353,79.69389591490008,78.87434151639025,89.94488970806533,100.21858705003172,92.60129371025586,89.35496626945134,97.80866408441943,99.06369085384176,88.79303294605604,89.83820898341891,92.88739667420936,92.9646461137222
164.60292812905004,174.33753230020565,105.77127812825279,91.20256659088564,78.82840849422192,76.71171921005661,91.05577216524372,103.62293091728449,92.26572651633313,92.6782494516344,96.02494652229227,94.77392224372356,89.41026348097175,89.30404037899972,81.73631372203064,81.02594672759264
134.19218020810692,121.11326953250294,97.40547118752441,115.26983779188193,86.2739772178853,79.51893378912104,94.82551066252466,100.59087334093243,90.51863925872475,90.93599113776921,96.33237333683454,94.74645122288177,89.71601689916737,89.22709146781035,90.71452908412071,89.6661291974696
147.1357028739829,148.61443882929066,154.71778658858733,133.64907088606418,80.78042874768737,76.49854217587135,91.93672996439196,103.10609733297879,93.24792137935931,89.83514905867074,97.4729602867133,97.46573394657143,89.65190874361764,88.79717204069307,88.95764733524253,89.07744885328455
146.75487884661968,159.73662325109103,104.48211407335873,81.20681696700375,78.59735002478955,79.6073369275485,89.29708041623547,101.1997983658174,92.69097409405813,91.03338963533359,98.2647567964362,97.23382170349282,88.40240076704467,90.43825476238287,97.65208882788606,97.6024265224309
143.3452074318143,142.5548452618171,95.53904686473756,97.11711426114482,85.2349825017213,78.76947762206304,96.64036022688876,102.16188515192707,91.56237412617273,90.25026746585661,97.41137930115647,96.79726333250228,89.39652114036168,89.57836809682411,94.6459313288667,94.16784540772248
153.1352044371387,147.88337636166753,144.87824339102366,107.40106371705538,80.67929413664699,77.10645633275917,93.26877394689537,96.01334886108158,93.00239656926486,90.22436055833475,99.23753282859693,97.95934488769909,88.11357255761234,90.91858098557485,100.36870094761025,100.20633369066071
134.284906856279,152.57105813245232,103.77509387161403,70.3817526042881,79.72974757785347,77.69420094102793,93.3988890505841,92.35707346629289,92.62895597639441,90.29018309136616,98.95700329900617,97.98003353069505,88.08989912194909,90.95543668633623,100.18086391524574,99.71268176839804
152.92023106320173,140.8800282358166,93.53282223001888,97.09472490104551,82.4462162636051,82.62502378588685,101.53908118264862,107.69101890770077,91.30001972996338,91.06293703368306,95.04515588585393,95.65748917513474,89.45383325768726,89.48163212760922,90.19301682023355,88.902828236964
152.1203339491232,148.04160452398003,147.56342298018745,119.91812303153411,77.41981858169018,78.16309342754931,97.8903736374603,91.07334624197816,93.89987659601537,89.3444477781295,99.00419307598179,97.90772231795214,87.43125715009558,91.15372390813087,97.06965810679156,97.30628318039749
132.2686896548046,146.9259750853285,133.98141423069868,69.25464844783093,79.62259557015432,78.69463923932722,92.58295465233438,99.91268336767435,93.2176089998228,89.53583650886245,97.91522869584998,97.40422809309547,87.47608368161838,91.51437155668589,98.66938403305693,98.35059861392493
164.4830173279813,153.10565703878922,77.8380242343809,74.31626258510643,83.95296282469909,77.99647779293602,93.98661999847452,102.03181102937334,91.36500897991604,91.38182490565262,97.0468521051529,96.89881458508204,89.5331590747078,89.09289874118711,90.66070036327184,89.25178943184912
163.48636978467135,167.0910704210373,102.37687218624238,95.96378900846398,80.48885480220869,73.86820900574276,81.85191467373312,92.81062534793841,92.1983603605493,91.59560299648484,99.02212915274224,98.82074785525359,89.26898101799004,88.84938200670865,91.73028066653916,90.33528283045575
112.07231205269714,128.33630386281814,159.70263622978106,78.24390139561973,81.83149923830395,74.84608035902431,87.49816568320503,95.43994765006984,92.89049074990338,89.14729436773709,96.08986064016406,95.78343103324062,88.31578713817974,89.93132495237369,92.80553685700676,93.81971066572693
179.57341871415403,159.2281839692753,82.3377050482611,77.86725744402855,78.49723994212468,81.12556503663728,89.76612316691859,97.6046121829653,91.33397260032751,91.57048156071754,98.00756602323938,97.96531447303367,89.07863730620012,89.52349435703223,85.94343021300253,84.9508398020596
162.61679108068037,164.72777032669953,110.00425371542234,113.52614513829104,80.89515543517606,74.89501866442745,91.39349769894417,93.9937575461572,92.8271885566757,90.98212906561264,98.23066732228867,97.87121495683841,89.48334650509089,88.72702599791704,89.26532686678408,88.82820842028161
